iter	Passed	Remaining
789	16375	4352
790	16396	4332
791	16417	4311
792	16438	4290
793	16460	4270
794	16482	4250
795	16507	4230
796	16530	4210
797	16551	4189
798	16571	4168
799	16593	4148
800	16612	4127
801	16633	4106
802	16653	4085
803	16674	4064
804	16696	4044
805	16718	4024
806	16738	4003
807	16759	3982
808	16781	3961
809	16802	3941
810	16821	3920
811	16841	3899
812	16861	3878
813	16881	3857
814	16904	3837
815	16925	3816
816	16945	3795
817	16966	3774
818	16987	3754
819	17008	3733
820	17030	3713
821	17051	3692
822	17072	3671
823	17092	3650
824	17113	3630
825	17134	3609
826	17155	3588
827	17176	3568
828	17197	3547
829	17218	3526
830	17238	3505
831	17259	3485
832	17283	3465
833	17304	3444
834	17324	3423
835	17344	3402
836	17365	3381
837	17386	3361
838	17407	3340
839	17427	3319
840	17448	3298
841	17471	3278
842	17494	3258
843	17517	3237
844	17541	3217
845	17562	3196
846	17583	3176
847	17603	3155
848	17623	3134
849	17644	3113
850	17664	3092
851	17685	3072
852	17705	3051
853	17725	3030
854	17745	3009
855	17765	2988
856	17786	2967
857	17807	2947
858	17827	2926
859	17846	2905
860	17866	2884
861	17887	2863
862	17909	2843
863	17940	2824
864	17960	2803
865	17980	2782
866	18001	2761
867	18023	2740
868	18044	2720
869	18064	2699
870	18084	2678
871	18108	2658
872	18128	2637
873	18149	2616
874	18172	2596
875	18192	2575
876	18212	2554
877	18232	2533
878	18252	2512
879	18273	2491
880	18294	2471
881	18314	2450
882	18334	2429
883	18354	2408
884	18375	2387
885	18396	2367
886	18418	2346
887	18439	2325
888	18461	2305
889	18484	2284
890	18508	2264
891	18531	2243
892	18552	2222
893	18572	2202
894	18593	2181
895	18614	2160
896	18633	2139
897	18655	2118
898	18676	2098
899	18696	2077
900	18716	2056
901	18736	2035
902	18757	2014
903	18777	1994
904	18801	1973
905	18821	1952
906	18841	1931
907	18861	1911
908	18884	1890
909	18905	1869
910	18927	1849
911	18949	1828
912	18970	1807
913	18991	1786
914	19013	1766
915	19034	1745
916	19057	1724
917	19079	1704
918	19102	1683
919	19123	1662
920	19144	1642
921	19169	1621
922	19191	1600
923	19213	1580
924	19235	1559
925	19256	1538
926	19277	1518
927	19298	1497
928	19319	1476
929	19339	1455
930	19359	1434
931	19384	1414
932	19404	1393
933	19425	1372
934	19447	1351
935	19469	1331
936	19491	1310
937	19514	1289
938	19537	1269
939	19558	1248
940	19580	1227
941	19600	1206
942	19621	1186
943	19642	1165
944	19662	1144
945	19684	1123
946	19703	1102
947	19725	1081
948	19745	1061
949	19765	1040
950	19786	1019
951	19806	998
952	19826	977
953	19848	957
954	19868	936
955	19888	915
956	19909	894
957	19930	873
958	19950	852
959	19971	832
960	19991	811
961	20012	790
962	20033	769
963	20053	748
964	20075	728
965	20098	707
966	20120	686
967	20141	665
968	20167	645
969	20189	624
970	20211	603
971	20233	582
972	20256	562
973	20276	541
974	20297	520
975	20319	499
976	20340	478
977	20363	458
978	20384	437
979	20405	416
980	20427	395
981	20448	374
982	20472	354
983	20496	333
984	20520	312
985	20543	291
986	20564	270
987	20587	250
988	20609	229
989	20630	208
990	20651	187
991	20671	166
992	20693	145
993	20713	125
994	20735	104
995	20756	83
996	20777	62
997	20798	41
998	20822	20
999	20843	0
